"
			The Batch {0} of an item {1} has negative stock in the warehouse {2}{3}.
			Please add a stock quantity of {4} to proceed with this entry.
			If it is not possible to make an adjustment entry, please enable 'Allow Negative Stock for Batch' in Stock Settings to proceed.
			However, enabling this setting may lead to negative stock in the system.
			So please ensure the stock levels are adjusted as soon as possible to maintain the correct valuation rate.","
			物料 {1} 的批次 {0} 在仓库 {2}{3} 中存在负库存。
			请添加 {4} 的库存数量以继续此分录。
			如果无法进行调整分录，请在库存设置中启用“允许批次负库存”以继续。
			但是，启用此设置可能导致系统中出现负库存。
			因此请尽快调整库存水平以保持正确的估值费率。",
 Address,地址,
 Amount,金额,
 BOM,物料清单,
 Default Work In Progress Warehouse , 默认车间仓 ,
 Is Child Table,是否子表,
 Is Subcontracted,是否外协,
 Item,物料,
 Name,名称,
 Phantom Item, 虚拟物料,
 Rate,费率,
 Raw Material,原材料,
 Skip Material Transfer,跳过物料转移,
 Sub Assembly,子装配件,
 Summary,摘要,
"""Customer Provided Item"" cannot be Purchase Item also",“受托加工材料”不能设置为允许采购,
"""Customer Provided Item"" cannot have Valuation Rate",“受托加工材料”不允许有成本价,
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item",已有关联的固定资产记录，不能取消勾选允许资产,
"""SN-01::10"" for ""SN-01"" to ""SN-10""","""SN-01::10"" 表示从 ""SN-01"" 到 ""SN-10""",
# In Stock,有库存物料个数,
# Req'd Items,物料个数,
%  Delivered,已出货%,
% Amount Billed,已开票%,
% Billed,已开票%,
% Complete Method,完成百分比法,
% Completed,已完成%,
% Cost Allocation,% 成本分配,
% Delivered,已交付%,
% Finished Item Quantity,产成品完成率,
% Installed,已安装％,
% Occupied,占用率,
% Of Grand Total,占总计百分比,
% Ordered,已下单%,
% Picked,已拣货%,
% Process Loss,制程损耗%,
% Produced,产出百分比,
% Progress,进度%,
% Raw Material Received,原材料接收百分比,
% Raw Material Returned,原材料退回百分比,
% Received,已收货%,
% Returned,已退货%,
% of materials billed against this Sales Order,此销售订单%的物料已开票。,
% of materials delivered against this Pick List,本拣配清单的物料交付百分比,
% of materials delivered against this Sales Order,此销售订单% 的物料已出货。,
